Title,Note,URL,Comment
John Coull Campsite,,https://www.google.com/maps/place/John+Coull+Campsite/data=!4m2!3m1!1s0x6d152bf756dbaae1:0xecac946fc9653fbe,
Tieke Kainga Campsite and Hut,,https://www.google.com/maps/place/Tieke+Kainga+Campsite+and+Hut/data=!4m2!3m1!1s0x6d6ad3b2b49f5115:0x277801637f92ac73,
Whakahoro,,https://www.google.com/maps/place/Whakahoro/data=!4m2!3m1!1s0x6d6b2f1c9254c3dd:0x946d16dc8521d23a,
Whakahoro Camping Ground,,https://www.google.com/maps/place/Whakahoro+Camping+Ground/data=!4m2!3m1!1s0x6d6b229d2410ec85:0x52c7c13c5196d7d3,
InterCity,,https://www.google.com/maps/place/InterCity/data=!4m2!3m1!1s0x6d6bf0c6dca5a185:0xe2b25b701c5a1bf2,
Dogo Onsen Main Building,,https://www.google.com/maps/place/Dogo+Onsen+Main+Building/data=!4m2!3m1!1s0x354fe678907e81f3:0x7c59588d1c87b179,
Michinoku Coastal Trailhead,,https://www.google.com/maps/place/Michinoku+Coastal+Trailhead/data=!4m2!3m1!1s0x60209f0079be631b:0xabde915dea537c98,
Nagano,,https://www.google.com/maps/place/Nagano/data=!4m2!3m1!1s0x601d805de6344499:0xf128a974072892c8,
Whakapapa Scenic Reserve,,https://www.google.com/maps/place/Whakapapa+Scenic+Reserve/data=!4m2!3m1!1s0x6d6b11db2118b78f:0xb0e558e6a6ca6697,
Tongariro Holiday Park,,https://www.google.com/maps/place/Tongariro+Holiday+Park/data=!4m2!3m1!1s0x6d6ba78a17f45643:0xa6d8ade781ef3536,
Mangatepopo Hut,,https://www.google.com/maps/place/Mangatepopo+Hut/data=!4m2!3m1!1s0x6d6b0750af737fbf:0x450b300e6890cb2f,
Taumarunui Canoe Hire & Jet Boat Tours,,https://www.google.com/maps/place/Taumarunui+Canoe+Hire+%26+Jet+Boat+Tours/data=!4m2!3m1!1s0x6d6b3fa3355c8857:0x77f25c7e4240edb1,
Pipiriki,,https://www.google.com/maps/place/Pipiriki/data=!4m2!3m1!1s0x6d6ac8d88c95b97f:0x500ef6143a2f6a0,
Bennett Road Carpark Timber Trail,,https://www.google.com/maps/place/Bennett+Road+Carpark+Timber+Trail/data=!4m2!3m1!1s0x6d6b67d98b93d047:0x795ef0b0e0659cdf,
Wānaka,,https://www.google.com/maps/place/W%C4%81naka/data=!4m2!3m1!1s0xa9d5461db9ec2d6f:0x500ef868479c1e0,
Pureora Cabins,,https://www.google.com/maps/place/Pureora+Cabins/data=!4m2!3m1!1s0x6d6c811b10ebb977:0xe6661d97a86a414e,
Camp Epic,,https://www.google.com/maps/place/Camp+Epic/data=!4m2!3m1!1s0x6d6b7d62b5c7006d:0x52d8754d999bc7d7,
